gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0042500311,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:38 PM EST),period,start,1,0,1
0042500311,4,PT12M00.00S,1,1610612760,OKC,1631096,Holmgren,C. Holmgren,0,0,0,,0,,,0,h,Jump Ball Holmgren vs. Wembanyama: Tip to Champagnie,Jump Ball,,1,0,2
0042500311,7,PT11M42.00S,1,1610612759,SAS,1642264,Castle,S. Castle,138,223,26,Made,1,0,3,3,v,Castle 26' 3PT Jump Shot (3 PTS) (Harper 1 AST),Made Shot,Jump Shot,1,3,3
0042500311,9,PT11M17.00S,1,1610612760,OKC,1628392,Hartenstein,I. Hartenstein,2,88,9,Missed,1,,,0,h,MISS Hartenstein 9' Floating Jump Shot,Missed Shot,Floating Jump shot,1,2,4
0042500311,10,PT11M13.00S,1,1610612759,SAS,1630577,Champagnie,J. Champagnie,0,0,0,,0,,,0,v,Champagnie REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,5
0042500311,11,PT11M04.00S,1,1610612760,OKC,1629652,Dort,L. Dort,0,0,0,,0,,,0,h,Dort S.FOUL (P1.T1) (J.Goble),Foul,Shooting,1,0,6
0042500311,13,PT11M04.00S,1,1610612759,SAS,1641705,Wembanyama,V. Wembanyama,0,0,0,,0,0,4,4,v,Wembanyama Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,7
0042500311,14,PT11M04.00S,1,1610612759,SAS,1641705,Wembanyama,V. Wembanyama,0,0,0,,0,0,5,5,v,Wembanyama Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,8
0042500311,15,PT10M46.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,0,0,0,,0,,,0,h,Gilgeous-Alexander Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,9
0042500311,15,PT10M46.00S,1,1610612759,SAS,1642844,Harper,D. Harper,0,0,0,,0,,,0,v,Harper STEAL (1 STL),,,1,0,10
0042500311,17,PT10M42.00S,1,1610612759,SAS,1630577,Champagnie,J. Champagnie,-210,158,26,Missed,1,,,0,v,MISS Champagnie 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,1,3,11
0042500311,18,PT10M37.00S,1,1610612759,SAS,1641705,Wembanyama,V. Wembanyama,0,0,0,,0,,,0,v,Wembanyama REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,12
0042500311,19,PT10M37.00S,1,1610612759,SAS,1641705,Wembanyama,V. Wembanyama,0,0,0,Missed,1,,,0,v,MISS Wembanyama Tip Layup Shot,Missed Shot,Tip Layup Shot,1,2,13
0042500311,20,PT10M36.00S,1,1610612759,SAS,1641705,Wembanyama,V. Wembanyama,0,0,0,,0,,,0,v,Wembanyama REBOUND (Off:2 Def:0),Rebound,Unknown,1,0,14
0042500311,21,PT10M36.00S,1,1610612759,SAS,1641705,Wembanyama,V. Wembanyama,0,0,0,Missed,1,,,0,v,MISS Wembanyama Tip Layup Shot,Missed Shot,Tip Layup Shot,1,2,15
