gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0042500313,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:37 PM EST),period,start,1,0,1
0042500313,4,PT12M00.00S,1,1610612759,SAS,1641705,Wembanyama,V. Wembanyama,0,0,0,,0,,,0,h,Jump Ball Wembanyama vs. Holmgren: Tip to Castle,Jump Ball,,1,0,2
0042500313,7,PT11M39.00S,1,1610612759,SAS,1628368,Fox,D. Fox,-21,3,2,Made,1,2,0,2,h,Fox 2' Driving Finger Roll Layup (2 PTS) (Castle 1 AST),Made Shot,Driving Finger Roll Layup Shot,1,2,3
0042500313,9,PT11M22.00S,1,1610612760,OKC,1631096,Holmgren,C. Holmgren,80,83,12,Missed,1,,,0,v,MISS Holmgren 12' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,4
0042500313,10,PT11M20.00S,1,1610612759,SAS,1641705,Wembanyama,V. Wembanyama,0,0,0,,0,,,0,h,Wembanyama REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,5
0042500313,11,PT11M03.00S,1,1610612759,SAS,1641705,Wembanyama,V. Wembanyama,65,246,25,Made,1,5,0,5,h,Wembanyama 25' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,1,3,6
0042500313,12,PT10M43.00S,1,1610612760,OKC,1642349,Mitchell,A. Mitchell,0,0,0,,0,,,0,v,Mitchell Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,7
0042500313,12,PT10M43.00S,1,1610612759,SAS,1628368,Fox,D. Fox,0,0,0,,0,,,0,h,Fox STEAL (1 STL),,,1,0,8
0042500313,14,PT10M38.00S,1,1610612759,SAS,1630577,Champagnie,J. Champagnie,-238,4,24,Missed,1,,,0,h,MISS Champagnie 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,1,3,9
0042500313,15,PT10M35.00S,1,1610612759,SAS,1642264,Castle,S. Castle,0,0,0,,0,,,0,h,Castle REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,10
0042500313,16,PT10M35.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,0,0,0,,0,,,0,v,Gilgeous-Alexander S.FOUL (P1.T1) (J.Van Duyne),Foul,Shooting,1,0,11
0042500313,18,PT10M35.00S,1,1610612759,SAS,1642264,Castle,S. Castle,0,0,0,,0,6,0,6,h,Castle Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,12
0042500313,19,PT10M35.00S,1,1610612759,SAS,1642264,Castle,S. Castle,0,0,0,,0,7,0,7,h,Castle Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,13
0042500313,20,PT10M26.00S,1,1610612759,SAS,1642264,Castle,S. Castle,0,0,0,,0,,,0,h,Castle P.FOUL (P1.T1) (M.Davis),Foul,Personal,1,0,14
0042500313,22,PT10M19.00S,1,1610612760,OKC,1642349,Mitchell,A. Mitchell,-64,84,11,Missed,1,,,0,v,MISS Mitchell 11' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,15
0042500313,23,PT10M15.00S,1,1610612759,SAS,1630170,Vassell,D. Vassell,0,0,0,,0,,,0,h,Vassell REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,16
0042500313,24,PT10M12.00S,1,1610612759,SAS,1630170,Vassell,D. Vassell,-7,251,25,Made,1,10,0,10,h,Vassell 25' 3PT Running Pull-Up Jump Shot (3 PTS),Made Shot,Running Pull-Up Jump Shot,1,3,17
0042500313,25,PT10M10.00S,1,0,,1610612760,,,0,0,0,,0,,,0,v,Thunder Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0,18
0042500313,26,PT09M57.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,-22,8,2,Missed,1,,,0,v,MISS Gilgeous-Alexander 2' Driving Layup,Missed Shot,Driving Layup Shot,1,2,19
0042500313,27,PT09M54.00S,1,1610612760,OKC,1631096,Holmgren,C. Holmgren,0,0,0,,0,,,0,v,Holmgren REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,20
0042500313,28,PT09M48.00S,1,1610612760,OKC,1629652,Dort,L. Dort,0,0,0,,0,,,0,v,Dort Lost Ball Turnover (P1.T2),Turnover,Lost Ball,1,0,21
0042500313,28,PT09M48.00S,1,1610612759,SAS,1642264,Castle,S. Castle,0,0,0,,0,,,0,h,Castle STEAL (1 STL),,,1,0,22
0042500313,30,PT09M44.00S,1,1610612759,SAS,1628368,Fox,D. Fox,-20,-8,2,Made,1,12,0,12,h,Fox 2' Running Finger Roll Layup (4 PTS) (Wembanyama 1 AST),Made Shot,Running Finger Roll Layup Shot,1,2,23
0042500313,32,PT09M31.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,-65,157,17,Missed,1,,,0,v,MISS Gilgeous-Alexander 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,24
0042500313,32,PT09M31.00S,1,1610612759,SAS,1642264,Castle,S. Castle,0,0,0,,0,,,0,h,Castle BLOCK (1 BLK),,,1,2,25
0042500313,34,PT09M31.00S,1,1610612759,SAS,1628368,Fox,D. Fox,0,0,0,,0,,,0,h,Fox REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,26
0042500313,35,PT09M23.00S,1,1610612759,SAS,1630170,Vassell,D. Vassell,-114,225,25,Made,1,15,0,15,h,Vassell 25' 3PT Jump Shot (6 PTS) (Champagnie 1 AST),Made Shot,Jump Shot,1,3,27
0042500313,37,PT08M58.00S,1,1610612760,OKC,1628392,Hartenstein,I. Hartenstein,4,164,16,Missed,1,,,0,v,MISS Hartenstein 16' Floating Jump Shot,Missed Shot,Floating Jump shot,1,2,28
0042500313,37,PT08M58.00S,1,1610612759,SAS,1641705,Wembanyama,V. Wembanyama,0,0,0,,0,,,0,h,Wembanyama BLOCK (1 BLK),,,1,2,29
0042500313,39,PT08M57.00S,1,0,,1610612760,,,0,0,0,,0,,,0,v,Thunder Rebound,Rebound,Unknown,1,0,30
0042500313,40,PT08M57.00S,1,0,,1610612760,,,0,0,0,,0,,,0,v,Thunder Turnover: Shot Clock (T#3),Turnover,Shot Clock Turnover,1,0,31
0042500313,41,PT08M57.00S,1,1610612760,OKC,1631096,Holmgren,C. Holmgren,0,0,0,,0,,,0,v,SUB: Caruso FOR Holmgren,Substitution,,0,0,32
0042500313,43,PT08M45.00S,1,1610612759,SAS,1630170,Vassell,D. Vassell,59,146,16,Missed,1,,,0,h,MISS Vassell 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,33
0042500313,44,PT08M42.00S,1,1610612760,OKC,1627936,Caruso,A. Caruso,0,0,0,,0,,,0,v,Caruso REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,34
0042500313,45,PT08M27.00S,1,1610612760,OKC,1627936,Caruso,A. Caruso,99,246,27,Missed,1,,,0,v,MISS Caruso 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,35
0042500313,46,PT08M24.00S,1,1610612759,SAS,1630577,Champagnie,J. Champagnie,0,0,0,,0,,,0,h,Champagnie REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,36
0042500313,47,PT08M17.00S,1,1610612759,SAS,1630170,Vassell,D. Vassell,-230,11,0,Missed,1,,,0,h,MISS Vassell 3PT Jump Shot,Missed Shot,Jump Shot,1,3,37
0042500313,48,PT08M14.00S,1,1610612760,OKC,1628392,Hartenstein,I. Hartenstein,0,0,0,,0,,,0,v,Hartenstein REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,38
0042500313,49,PT08M06.00S,1,1610612760,OKC,1628392,Hartenstein,I. Hartenstein,40,112,12,Made,1,15,2,17,v,Hartenstein 12' Floating Jump Shot (2 PTS) (Dort 1 AST),Made Shot,Floating Jump shot,1,2,39
0042500313,51,PT07M50.00S,1,1610612759,SAS,1628368,Fox,D. Fox,-13,0,1,Made,1,17,2,19,h,Fox 1' Driving Finger Roll Layup (6 PTS) (Wembanyama 2 AST),Made Shot,Driving Finger Roll Layup Shot,1,2,40
0042500313,53,PT07M41.00S,1,1610612760,OKC,1627936,Caruso,A. Caruso,125,33,13,Made,1,17,4,21,v,Caruso 13' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,1,2,41
0042500313,54,PT07M27.00S,1,1610612759,SAS,1628368,Fox,D. Fox,0,0,0,,0,,,0,h,Fox Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,42
0042500313,54,PT07M27.00S,1,1610612760,OKC,1627936,Caruso,A. Caruso,0,0,0,,0,,,0,v,Caruso STEAL (1 STL),,,1,0,43
0042500313,56,PT07M21.00S,1,1610612760,OKC,1627936,Caruso,A. Caruso,0,0,0,,0,,,0,v,Caruso Lost Ball Turnover (P1.T4),Turnover,Lost Ball,1,0,44
0042500313,56,PT07M21.00S,1,1610612759,SAS,1630577,Champagnie,J. Champagnie,0,0,0,,0,,,0,h,Champagnie STEAL (1 STL),,,1,0,45
0042500313,58,PT07M17.00S,1,1610612759,SAS,1630577,Champagnie,J. Champagnie,10,5,1,Made,1,19,4,23,h,Champagnie 1' Running Finger Roll Layup (2 PTS),Made Shot,Running Finger Roll Layup Shot,1,2,46
0042500313,60,PT07M01.00S,1,1610612759,SAS,1641705,Wembanyama,V. Wembanyama,0,0,0,,0,,,0,h,SUB: Harper FOR Wembanyama,Substitution,,0,0,47
0042500313,61,PT07M01.00S,1,1610612759,SAS,1628368,Fox,D. Fox,0,0,0,,0,,,0,h,SUB: Johnson FOR Fox,Substitution,,0,0,48
0042500313,62,PT07M01.00S,1,1610612759,SAS,1630577,Champagnie,J. Champagnie,0,0,0,,0,,,0,h,SUB: Kornet FOR Champagnie,Substitution,,0,0,49
0042500313,63,PT07M01.00S,1,1610612760,OKC,1629652,Dort,L. Dort,0,0,0,,0,,,0,v,SUB: McCain FOR Dort,Substitution,,0,0,50
