gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0042500203,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (3:14 PM EST),period,start,1,0,1
0042500203,4,PT12M00.00S,1,1610612739,CLE,1628386,Allen,J. Allen,0,0,0,,0,,,0,h,Jump Ball Allen vs. Duren: Tip to Robinson,Jump Ball,,1,0,2
0042500203,7,PT11M43.00S,1,1610612765,DET,1629130,Robinson,D. Robinson,-120,211,24,Made,1,0,3,3,v,Robinson 24' 3PT Jump Shot (3 PTS) (Cunningham 1 AST),Made Shot,Jump Shot,1,3,3
0042500203,9,PT11M26.00S,1,1610612739,CLE,1630596,Mobley,E. Mobley,0,0,0,,0,,,0,h,Mobley Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,4
0042500203,9,PT11M26.00S,1,1610612765,DET,1630595,Cunningham,C. Cunningham,0,0,0,,0,,,0,v,Cunningham STEAL (1 STL),,,1,0,5
0042500203,11,PT11M22.00S,1,1610612765,DET,1641709,Thompson,A. Thompson,4,22,2,Missed,1,,,0,v,MISS Thompson 2' Running Layup,Missed Shot,Running Layup Shot,1,2,6
0042500203,12,PT11M16.00S,1,1610612765,DET,1630595,Cunningham,C. Cunningham,0,0,0,,0,,,0,v,Cunningham REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,7
0042500203,13,PT11M16.00S,1,1610612765,DET,1630595,Cunningham,C. Cunningham,0,0,0,Missed,1,,,0,v,MISS Cunningham Tip Layup Shot,Missed Shot,Tip Layup Shot,1,2,8
0042500203,14,PT11M15.00S,1,1610612739,CLE,1628378,Mitchell,D. Mitchell,0,0,0,,0,,,0,h,Mitchell REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,9
0042500203,15,PT11M14.00S,1,1610612739,CLE,1628378,Mitchell,D. Mitchell,7,-1,1,Made,1,2,3,5,h,Mitchell 1' Running Layup (2 PTS),Made Shot,Running Layup Shot,1,2,10
0042500203,16,PT10M59.00S,1,1610612765,DET,1631105,Duren,J. Duren,-6,21,2,Made,1,2,5,7,v,Duren 2' Cutting Layup Shot (2 PTS) (Cunningham 2 AST),Made Shot,Cutting Layup Shot,1,2,11
0042500203,18,PT10M45.00S,1,1610612739,CLE,201935,Harden,J. Harden,123,230,26,Made,1,5,5,10,h,Harden 26' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,1,3,12
0042500203,19,PT10M23.00S,1,1610612765,DET,202699,Harris,T. Harris,123,31,13,Missed,1,,,0,v,MISS Harris 13' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,13
0042500203,20,PT10M21.00S,1,1610612765,DET,1641709,Thompson,A. Thompson,0,0,0,,0,,,0,v,Thompson REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,14
0042500203,21,PT10M20.00S,1,1610612765,DET,1630595,Cunningham,C. Cunningham,64,256,26,Made,1,5,8,13,v,Cunningham 26' 3PT Jump Shot (3 PTS) (Thompson 1 AST),Made Shot,Jump Shot,1,3,15
0042500203,23,PT10M09.00S,1,1610612739,CLE,1629731,Wade,D. Wade,0,0,0,,0,,,0,h,Wade Bad Pass Turnover (P1.T2),Turnover,Bad Pass,1,0,16
0042500203,23,PT10M09.00S,1,1610612765,DET,1629130,Robinson,D. Robinson,0,0,0,,0,,,0,v,Robinson STEAL (1 STL),,,1,0,17
0042500203,25,PT10M05.00S,1,1610612739,CLE,1628378,Mitchell,D. Mitchell,0,0,0,,0,,,0,h,Mitchell S.FOUL (P1.T1) (P.Fraher),Foul,Shooting,1,0,18
0042500203,27,PT10M05.00S,1,1610612765,DET,1630595,Cunningham,C. Cunningham,0,0,0,,0,5,9,14,v,Cunningham Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,1,0,19
0042500203,28,PT10M05.00S,1,1610612765,DET,1630595,Cunningham,C. Cunningham,0,0,0,,0,,,0,v,MISS Cunningham Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,20
0042500203,29,PT10M01.00S,1,1610612739,CLE,1628378,Mitchell,D. Mitchell,0,0,0,,0,,,0,h,Mitchell REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,21
0042500203,30,PT09M51.00S,1,1610612739,CLE,1628386,Allen,J. Allen,0,0,0,,0,,,0,h,Allen Step Out of Bounds Turnover (P1.T3),Turnover,Step Out of Bounds Turnover,1,0,22
0042500203,31,PT09M32.00S,1,1610612765,DET,202699,Harris,T. Harris,11,14,2,Made,1,5,11,16,v,Harris 2' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,1,2,23
0042500203,32,PT09M19.00S,1,1610612739,CLE,1628378,Mitchell,D. Mitchell,0,0,0,,0,,,0,h,Mitchell Bad Pass Turnover (P1.T4),Turnover,Bad Pass,1,0,24
0042500203,32,PT09M19.00S,1,1610612765,DET,1629130,Robinson,D. Robinson,0,0,0,,0,,,0,v,Robinson STEAL (2 STL),,,1,0,25
0042500203,34,PT09M15.00S,1,1610612739,CLE,1628378,Mitchell,D. Mitchell,0,0,0,,0,,,0,h,Mitchell S.FOUL (P2.T2) (C.Kirkland),Foul,Shooting,1,0,26
0042500203,36,PT09M15.00S,1,1610612765,DET,1629130,Robinson,D. Robinson,0,0,0,,0,,,0,v,MISS Robinson Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1,0,27
0042500203,37,PT09M15.00S,1,0,,1610612765,,,0,0,0,,0,,,0,v,Pistons Rebound,Rebound,Normal Rebound,0,0,28
0042500203,38,PT09M15.00S,1,1610612765,DET,1629130,Robinson,D. Robinson,0,0,0,,0,5,12,17,v,Robinson Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,1,0,29
0042500203,39,PT09M04.00S,1,1610612765,DET,1630595,Cunningham,C. Cunningham,0,0,0,,0,,,0,v,Cunningham S.FOUL (P1.T1) (C.Kirkland),Foul,Shooting,1,0,30
0042500203,41,PT09M04.00S,1,1610612739,CLE,1630596,Mobley,E. Mobley,0,0,0,,0,,,0,h,MISS Mobley Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1,0,31
0042500203,42,PT09M04.00S,1,0,,1610612739,,,0,0,0,,0,,,0,h,CAVALIERS Rebound,Rebound,Normal Rebound,1,0,32
0042500203,43,PT09M04.00S,1,1610612739,CLE,1630596,Mobley,E. Mobley,0,0,0,,0,6,12,18,h,Mobley Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,1,0,33
0042500203,44,PT08M45.00S,1,1610612765,DET,202699,Harris,T. Harris,0,0,0,,0,,,0,v,Harris Step Out of Bounds Turnover (P1.T1),Turnover,Step Out of Bounds Turnover,1,0,34
