gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0042500213,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:12 PM EST),period,start,1,0,1
0042500213,4,PT12M00.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,0,0,0,,0,,,0,h,Jump Ball Embiid vs. Towns: Tip to Oubre Jr.,Jump Ball,,1,0,2
0042500213,7,PT11M55.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,4,22,2,Made,1,2,0,2,h,Oubre Jr. 2' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,1,2,3
0042500213,8,PT11M36.00S,1,1610612752,NYK,1630540,McBride,M. McBride,-136,153,20,Missed,1,,,0,v,MISS McBride 20' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,1,2,4
0042500213,9,PT11M34.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,0,0,0,,0,,,0,h,Embiid REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,5
0042500213,10,PT11M20.00S,1,1610612755,PHI,202331,George,P. George,116,258,28,Made,1,5,0,5,h,George 28' 3PT Jump Shot (3 PTS) (Embiid 1 AST),Made Shot,Jump Shot,1,3,6
0042500213,12,PT11M04.00S,1,1610612752,NYK,1628404,Hart,J. Hart,0,0,0,,0,,,0,v,Hart Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,7
0042500213,12,PT11M04.00S,1,1610612755,PHI,202331,George,P. George,0,0,0,,0,,,0,h,George STEAL (1 STL),,,1,0,8
0042500213,14,PT11M02.00S,1,1610612752,NYK,1628973,Brunson,J. Brunson,0,0,0,,0,,,0,v,Brunson S.FOUL (P1.T1) (J.Tiven),Foul,Shooting,1,0,9
0042500213,16,PT11M02.00S,1,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,6,0,6,h,Edgecombe Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,10
0042500213,17,PT11M02.00S,1,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,7,0,7,h,Edgecombe Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,11
0042500213,18,PT10M52.00S,1,1610612752,NYK,1628404,Hart,J. Hart,1,13,1,Missed,1,,,0,v,MISS Hart 1' Driving Layup,Missed Shot,Driving Layup Shot,1,2,12
0042500213,19,PT10M49.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,,,0,h,Oubre Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,13
0042500213,20,PT10M45.00S,1,1610612755,PHI,202331,George,P. George,180,206,27,Missed,1,,,0,h,MISS George 27' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,1,3,14
0042500213,21,PT10M43.00S,1,1610612752,NYK,1628404,Hart,J. Hart,0,0,0,,0,,,0,v,Hart REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,15
0042500213,22,PT10M29.00S,1,1610612752,NYK,1628973,Brunson,J. Brunson,113,-6,11,Missed,1,,,0,v,MISS Brunson 11' Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,2,16
0042500213,23,PT10M27.00S,1,0,,1610612755,,,0,0,0,,0,,,0,h,76ERS Rebound,Rebound,Unknown,0,0,17
0042500213,25,PT10M13.00S,1,1610612755,PHI,202331,George,P. George,9,8,1,Made,1,9,0,9,h,George 1' Cutting Dunk Shot (5 PTS) (Embiid 2 AST),Made Shot,Cutting Dunk Shot,1,2,18
0042500213,27,PT10M03.00S,1,1610612752,NYK,1628404,Hart,J. Hart,-6,17,2,Made,1,9,2,11,v,Hart 2' Driving Finger Roll Layup (2 PTS),Made Shot,Driving Finger Roll Layup Shot,1,2,19
0042500213,28,PT09M38.00S,1,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,230,43,0,Missed,1,,,0,h,MISS Edgecombe 3PT Jump Shot,Missed Shot,Jump Shot,1,3,20
0042500213,29,PT09M35.00S,1,1610612752,NYK,1628404,Hart,J. Hart,0,0,0,,0,,,0,v,Hart REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,21
0042500213,30,PT09M27.00S,1,1610612755,PHI,203954,Embiid,J. Embiid,0,0,0,,0,,,0,h,Embiid P.FOUL (P1.T1) (R.Acosta),Foul,Personal,1,0,22
